lbd,S
6e-07,-29.985366
6.00022e-07,-29.9137551
6.00044e-07,-30.1212471
6.00066e-07,-30.1799447
6.00088e-07,-30.371789
6.0011e-07,-30.388297
6.00132e-07,-30.3666478
6.00154e-07,-30.1351083
6.00176e-07,-30.18142
6.00198e-07,-30.2770619
6.0022e-07,-30.5040725
6.00242e-07,-30.4308677
6.00264e-07,-30.256331
6.00286e-07,-30.013673
6.00308e-07,-29.9958143
6.0033e-07,-29.9150927
6.00352e-07,-29.974722
6.00374e-07,-30.1426051
6.00396e-07,-30.2584609
6.00418e-07,-30.1549005
6.0044e-07,-30.0503616
6.00462e-07,-30.0421713
6.00484e-07,-30.0665029
6.00506e-07,-30.1941948
6.00528e-07,-30.2832742
6.0055e-07,-30.364422
6.00572e-07,-30.2742616
6.00594e-07,-30.1299393
6.00616e-07,-30.0390391
6.00638e-07,-30.123295
6.0066e-07,-30.1716563
6.00682e-07,-30.2120346
6.00704e-07,-30.4032794
6.00726e-07,-30.3069607
6.00748e-07,-30.2486238
6.0077e-07,-30.2327025
6.00792e-07,-30.2660971
6.00814e-07,-30.3198747
6.00836e-07,-30.4552193
6.00858e-07,-30.5360585
6.0088e-07,-30.3922619
6.00902e-07,-30.2610219
6.00924e-07,-30.2268233
6.00946e-07,-30.1963835
6.00968e-07,-30.4391325
6.0099e-07,-30.554273
6.01012e-07,-30.640868
6.01034e-07,-30.5035769
6.01056e-07,-30.3402529
6.01078e-07,-30.2540033
6.011e-07,-30.1877796
6.01122e-07,-30.5152186
6.01144e-07,-30.5221574
6.01166e-07,-30.5492058
6.01188e-07,-30.6260309
6.0121e-07,-30.5258403
6.01232e-07,-30.446101
6.01254e-07,-30.4208435
6.01276e-07,-30.4743703
6.01298e-07,-30.4186711
6.0132e-07,-30.3988116
6.01342e-07,-30.292488
6.01364e-07,-30.1788489
6.01386e-07,-30.2078102
6.01408e-07,-30.2018538
6.0143e-07,-30.3456245
6.01452e-07,-30.3467374
6.01474e-07,-30.517086
6.01496e-07,-30.4390132
6.01518e-07,-30.3091347
6.0154e-07,-30.399887
6.01562e-07,-30.4816409
6.01584e-07,-30.6164204
6.01606e-07,-30.5542225
6.01628e-07,-30.368568
6.0165e-07,-30.2909522
6.01672e-07,-30.2584434
6.01694e-07,-30.3018395
6.01716e-07,-30.2167588
6.01738e-07,-30.188648
6.0176e-07,-30.2698961
6.01782e-07,-30.256944
6.01804e-07,-30.1575514
6.01826e-07,-30.0621457
6.01848e-07,-30.3920493
6.0187e-07,-30.4542902
6.01892e-07,-30.5615143
6.01914e-07,-30.4566426
6.01936e-07,-30.4676569
6.01958e-07,-30.4378932
6.0198e-07,-30.4273817
6.02002e-07,-30.4282991
6.02024e-07,-30.3709601
6.02046e-07,-30.4808465
6.02068e-07,-30.4956622
6.0209e-07,-30.4073156
6.02112e-07,-30.3353173
6.02134e-07,-30.4404443
6.02156e-07,-30.4806619
6.02178e-07,-30.4263391
6.022e-07,-30.3684348
6.02222e-07,-30.4446232
6.02244e-07,-30.4023734
6.02266e-07,-30.3256443
6.02288e-07,-30.3388357
6.0231e-07,-30.4186806
6.02332e-07,-30.601581
6.02354e-07,-30.6205144
6.02376e-07,-30.5776181
6.02398e-07,-30.4936304
6.0242e-07,-30.4652569
6.02442e-07,-30.4781636
6.02464e-07,-30.3957715
6.02486e-07,-30.4013141
6.02508e-07,-30.3261547
6.0253e-07,-30.424544
6.02552e-07,-30.3764779
6.02574e-07,-30.2741215
6.02596e-07,-30.2625666
6.02618e-07,-30.3840386
6.0264e-07,-30.3893351
6.02662e-07,-30.4119747
6.02684e-07,-30.5154544
6.02706e-07,-30.6041042
6.02728e-07,-30.6710577
6.0275e-07,-30.7093783
6.02772e-07,-30.7783358
6.02794e-07,-30.9693953
6.02816e-07,-31.0210211
6.02838e-07,-31.1043349
6.0286e-07,-30.8540473
6.02882e-07,-30.843765
6.02904e-07,-30.9857026
6.02926e-07,-31.091966
6.02948e-07,-30.9425845
6.0297e-07,-30.8945578
6.02992e-07,-30.8647851
6.03014e-07,-30.8381133
6.03036e-07,-30.6751754
6.03058e-07,-30.5417273
6.0308e-07,-30.5220388
6.03102e-07,-30.8032429
6.03124e-07,-30.7883603
6.03146e-07,-30.7751556
6.03168e-07,-30.8529786
6.0319e-07,-30.6854781
6.03212e-07,-30.7043819
6.03234e-07,-30.715313
6.03256e-07,-30.7553083
6.03278e-07,-30.8092654
6.033e-07,-30.9166598
6.03322e-07,-30.8556378
6.03344e-07,-30.9303173
6.03366e-07,-30.8839996
6.03388e-07,-31.0162494
6.0341e-07,-30.9959591
6.03432e-07,-31.1485746
6.03454e-07,-31.0949352
6.03476e-07,-31.0918281
6.03498e-07,-31.1014847
6.0352e-07,-31.0095913
6.03542e-07,-31.0695076
6.03564e-07,-31.1512646
6.03586e-07,-31.040428
6.03608e-07,-30.9037844
6.0363e-07,-30.9025996
6.03652e-07,-31.0192003
6.03674e-07,-31.1062768
6.03696e-07,-31.0914835
6.03718e-07,-31.0846164
6.0374e-07,-31.0777029
6.03762e-07,-31.0976166
6.03784e-07,-30.8922483
6.03806e-07,-30.8064112
6.03828e-07,-30.6848839
6.0385e-07,-30.6642486
6.03872e-07,-30.7729683
6.03894e-07,-30.8491948
6.03916e-07,-30.8905544
6.03938e-07,-30.9922616
6.0396e-07,-30.9558995
6.03982e-07,-30.9920197
6.04004e-07,-30.890747
6.04026e-07,-30.9909707
6.04048e-07,-31.1198716
6.0407e-07,-31.1968665
6.04092e-07,-31.1682833
6.04114e-07,-31.0660444
6.04136e-07,-31.2194501
6.04158e-07,-31.3400423
6.0418e-07,-31.2849533
6.04202e-07,-31.3284683
6.04224e-07,-31.3944771
6.04246e-07,-31.2982135
6.04268e-07,-31.2330189
6.0429e-07,-31.1169
6.04312e-07,-31.1940301
6.04334e-07,-31.3292817
6.04356e-07,-31.1957543
6.04378e-07,-31.1318918
6.044e-07,-31.1260816
6.04422e-07,-31.0562948
6.04444e-07,-30.9761162
6.04466e-07,-30.9483444
6.04488e-07,-30.9444228
6.0451e-07,-31.1970026
6.04532e-07,-31.2010465
6.04554e-07,-31.0777805
6.04576e-07,-31.1336938
6.04598e-07,-31.1571397
6.0462e-07,-31.3326357
6.04642e-07,-31.2715733
6.04664e-07,-31.2457093
6.04686e-07,-31.3129699
6.04708e-07,-31.266816
6.0473e-07,-31.1153044
6.04752e-07,-31.0926855
6.04774e-07,-31.2645005
6.04796e-07,-31.4103
6.04818e-07,-31.4459761
6.0484e-07,-31.2439079
6.04862e-07,-31.1671331
6.04884e-07,-31.2234674
6.04906e-07,-31.1680019
6.04928e-07,-31.1277754
6.0495e-07,-31.1171784
6.04972e-07,-31.284793
6.04994e-07,-31.3516876
6.05016e-07,-31.2802768
6.05038e-07,-31.2605901
6.0506e-07,-31.2513408
6.05082e-07,-31.3211906
6.05104e-07,-31.3163968
6.05126e-07,-31.3617102
6.05148e-07,-31.3122185
6.0517e-07,-31.3249379
6.05192e-07,-31.4282666
6.05214e-07,-31.4168427
6.05236e-07,-31.5154707
6.05258e-07,-31.5536688
6.0528e-07,-31.5982606
6.05302e-07,-31.5726068
6.05324e-07,-31.3115117
6.05346e-07,-31.2617323
6.05368e-07,-31.3464754
6.0539e-07,-31.467524
6.05412e-07,-31.4564353
6.05434e-07,-31.4580334
6.05456e-07,-31.4903674
6.05478e-07,-31.4221896
6.055e-07,-31.2867685
6.05522e-07,-31.3030358
6.05544e-07,-31.4246812
6.05566e-07,-31.3062324
6.05588e-07,-31.3994946
6.0561e-07,-31.4729637
6.05632e-07,-31.5576241
6.05654e-07,-31.6729408
6.05676e-07,-31.6681372
6.05698e-07,-31.6086813
6.0572e-07,-31.5773897
6.05742e-07,-31.5758418
6.05764e-07,-31.6158518
6.05786e-07,-31.5032327
6.05808e-07,-31.4577849
6.0583e-07,-31.4208766
6.05852e-07,-31.5123417
6.05874e-07,-31.5953765
6.05896e-07,-31.6637317
6.05918e-07,-31.5453922
6.0594e-07,-31.6403317
