lbd,S
7e-07,-74.7231062
7.0002e-07,-71.531727
7.0004e-07,-74.3912977
7.0006e-07,-74.9515832
7.0008e-07,-76.156355
7.001e-07,-72.4303112
7.0012e-07,-71.8425987
7.0014e-07,-71.9185162
7.0016e-07,-70.2898385
7.0018e-07,-72.2800022
7.002e-07,-75.1197651
7.0022e-07,-75.966608
7.0024e-07,-73.6891224
7.0026e-07,-73.8452851
7.0028e-07,-82.8861011
7.003e-07,-74.8294755
7.0032e-07,-73.4691238
7.0034e-07,-77.8243368
7.0036e-07,-71.0702601
7.0038e-07,-70.8986691
7.004e-07,-74.7377215
7.0042e-07,-71.6422019
7.0044e-07,-73.7999545
7.0046e-07,-74.7236882
7.0048e-07,-70.7494367
7.005e-07,-71.9602877
7.0052e-07,-73.8906757
7.0054e-07,-71.2799472
7.0056e-07,-76.4328739
7.0058e-07,-77.9355463
7.006e-07,-73.9094551
7.0062e-07,-75.887951
7.0064e-07,-71.9532038
7.0066e-07,-72.8355999
7.0068e-07,-70.0520998
7.007e-07,-72.9670276
7.0072e-07,-74.6499338
7.0074e-07,-72.4596251
7.0076e-07,-74.3075488
7.0078e-07,-76.5567577
7.008e-07,-77.1008676
7.0082e-07,-74.1298717
7.0084e-07,-72.1075315
7.0086e-07,-71.7929701
7.0088e-07,-70.2499576
7.009e-07,-78.5121192
7.0092e-07,-73.0910134
7.0094e-07,-75.3258989
7.0096e-07,-73.7160831
7.0098e-07,-73.8634499
7.01e-07,-70.4126789
7.0102e-07,-73.5121548
7.0104e-07,-70.4737662
7.0106e-07,-81.2276632
7.0108e-07,-75.7465048
7.011e-07,-74.3186755
7.0112e-07,-78.0781907
7.0114e-07,-73.1786226
7.0116e-07,-76.68284
7.0118e-07,-80.636301
7.012e-07,-75.9082443
7.0122e-07,-73.6454789
7.0124e-07,-73.3340563
7.0126e-07,-75.1292549
7.0128e-07,-72.3242153
7.013e-07,-72.3307394
7.0132e-07,-71.9184641
7.0134e-07,-73.4576719
7.0136e-07,-73.4259286
7.0138e-07,-73.7609942
7.014e-07,-72.368912
7.0142e-07,-71.5187784
7.0144e-07,-72.9776184
7.0146e-07,-70.2313528
7.0148e-07,-74.7843798
7.015e-07,-73.9114959
7.0152e-07,-76.5668261
7.0154e-07,-84.5820558
7.0156e-07,-74.1369819
7.0158e-07,-73.1232603
7.016e-07,-72.6291089
7.0162e-07,-74.0625013
7.0164e-07,-72.6096685
7.0166e-07,-72.4590902
7.0168e-07,-72.7935014
7.017e-07,-78.3023203
7.0172e-07,-72.4350524
7.0174e-07,-79.7553706
7.0176e-07,-72.4566422
7.0178e-07,-71.6543122
7.018e-07,-75.1704377
7.0182e-07,-71.7588786
7.0184e-07,-71.1346197
7.0186e-07,-73.0105361
7.0188e-07,-77.884254
7.019e-07,-73.5916358
7.0192e-07,-76.7011112
7.0194e-07,-75.1652605
7.0196e-07,-84.2280004
7.0198e-07,-69.6574202
7.02e-07,-77.1939555
7.0202e-07,-75.179266
7.0204e-07,-71.5792493
7.0206e-07,-72.9413745
7.0208e-07,-71.3988191
7.021e-07,-72.7203531
7.0212e-07,-71.2830807
7.0214e-07,-71.7756472
7.0216e-07,-72.2203679
7.0218e-07,-74.2379861
7.022e-07,-72.1365397
7.0222e-07,-76.1980493
7.0224e-07,-76.7296019
7.0226e-07,-72.6176938
7.0228e-07,-76.2604776
7.023e-07,-77.6383427
7.0232e-07,-77.6226396
7.0234e-07,-72.8041999
7.0236e-07,-73.5836254
7.0238e-07,-72.0736921
7.024e-07,-71.4780236
7.0242e-07,-74.4678163
7.0244e-07,-72.4725383
7.0246e-07,-72.1150466
7.0248e-07,-72.1199408
7.025e-07,-71.3261054
7.0252e-07,-73.4472853
7.0254e-07,-73.5308662
7.0256e-07,-73.2295152
7.0258e-07,-71.6469271
7.026e-07,-71.3674208
7.0262e-07,-70.8779244
7.0264e-07,-75.4058338
7.0266e-07,-73.1639029
7.0268e-07,-73.0865116
7.027e-07,-75.9472086
7.0272e-07,-73.8883154
7.0274e-07,-72.3053299
7.0276e-07,-73.6880468
7.0278e-07,-74.7632103
7.028e-07,-72.5479079
7.0282e-07,-72.667075
7.0284e-07,-79.3716791
7.0286e-07,-80.1519337
7.0288e-07,-70.4042092
7.029e-07,-74.7169412
7.0292e-07,-73.1805397
7.0294e-07,-73.7046226
7.0296e-07,-70.9036839
7.0298e-07,-73.2873935
7.03e-07,-75.7220698
7.0302e-07,-77.0767236
7.0304e-07,-72.3158001
7.0306e-07,-72.8267614
7.0308e-07,-71.5912198
7.031e-07,-74.6823904
7.0312e-07,-75.360759
7.0314e-07,-73.7031967
7.0316e-07,-70.5349275
7.0318e-07,-71.8142737
7.032e-07,-73.479521
7.0322e-07,-77.1434641
7.0324e-07,-74.5505685
7.0326e-07,-71.1224869
7.0328e-07,-72.497133
7.033e-07,-76.3048571
7.0332e-07,-73.1172451
7.0334e-07,-72.9792946
7.0336e-07,-75.0394371
7.0338e-07,-76.8102851
7.034e-07,-71.505483
7.0342e-07,-72.0008642
7.0344e-07,-77.7436977
7.0346e-07,-72.7142605
7.0348e-07,-210.0
7.035e-07,-74.8040474
7.0352e-07,-72.2117621
7.0354e-07,-72.6648759
