lbd,S
7e-07,-73.733933
7.0002e-07,-70.8889201
7.0004e-07,-71.5362058
7.0006e-07,-71.2825058
7.0008e-07,-71.2288161
7.001e-07,-70.6168598
7.0012e-07,-71.5649639
7.0014e-07,-70.6885136
7.0016e-07,-72.1040397
7.0018e-07,-72.0582324
7.002e-07,-73.6589952
7.0022e-07,-70.8805358
7.0024e-07,-72.1461935
7.0026e-07,-70.0881728
7.0028e-07,-71.018749
7.003e-07,-71.9669779
7.0032e-07,-70.4879544
7.0034e-07,-71.1201764
7.0036e-07,-72.5131866
7.0038e-07,-71.4244354
7.004e-07,-70.6216216
7.0042e-07,-74.1583823
7.0044e-07,-73.324462
7.0046e-07,-71.0220499
7.0048e-07,-70.0113185
7.005e-07,-70.7143303
7.0052e-07,-71.4627409
7.0054e-07,-71.46314
7.0056e-07,-74.5046419
7.0058e-07,-71.7929094
7.006e-07,-70.0496729
7.0062e-07,-70.1644703
7.0064e-07,-70.7673518
7.0066e-07,-70.8180857
7.0068e-07,-71.3557808
7.007e-07,-70.6695983
7.0072e-07,-71.1417683
7.0074e-07,-70.9354978
7.0076e-07,-71.1195055
7.0078e-07,-73.3567459
7.008e-07,-70.0972272
7.0082e-07,-74.9610553
7.0084e-07,-70.8779925
7.0086e-07,-71.4965124
7.0088e-07,-71.6555288
7.009e-07,-70.5121534
7.0092e-07,-70.0680808
7.0094e-07,-72.4443862
7.0096e-07,-73.6895454
7.0098e-07,-74.108721
7.01e-07,-69.3604138
7.0102e-07,-69.8290207
7.0104e-07,-71.9065263
7.0106e-07,-70.9460641
7.0108e-07,-70.1938079
7.011e-07,-71.1424032
7.0112e-07,-73.0096809
7.0114e-07,-69.9240575
7.0116e-07,-71.7182949
7.0118e-07,-72.5639921
7.012e-07,-71.5687226
7.0122e-07,-72.1994424
7.0124e-07,-74.4433162
7.0126e-07,-71.755901
7.0128e-07,-69.6458429
7.013e-07,-72.5357928
7.0132e-07,-71.5263417
7.0134e-07,-72.4647083
7.0136e-07,-70.5838444
7.0138e-07,-71.2835238
7.014e-07,-75.2519978
7.0142e-07,-70.8752154
7.0144e-07,-69.4556453
7.0146e-07,-71.9652889
7.0148e-07,-72.858505
7.015e-07,-71.3818852
7.0152e-07,-72.0679528
7.0154e-07,-71.110373
7.0156e-07,-70.7453333
7.0158e-07,-73.4124807
7.016e-07,-72.724744
7.0162e-07,-70.2872261
7.0164e-07,-71.3351349
7.0166e-07,-70.262994
7.0168e-07,-70.2316685
7.017e-07,-72.4524948
7.0172e-07,-71.0700305
7.0174e-07,-70.2400086
7.0176e-07,-69.7206626
7.0178e-07,-72.7106057
7.018e-07,-77.14409
7.0182e-07,-71.5099331
7.0184e-07,-70.6444662
7.0186e-07,-73.5222808
7.0188e-07,-71.5280747
7.019e-07,-73.4462
7.0192e-07,-70.593059
7.0194e-07,-71.5529413
7.0196e-07,-72.2552487
7.0198e-07,-70.896041
7.02e-07,-69.9781325
7.0202e-07,-70.356511
7.0204e-07,-72.2929427
7.0206e-07,-72.8825743
7.0208e-07,-70.0084987
7.021e-07,-70.9828276
7.0212e-07,-71.6456708
7.0214e-07,-70.3220736
7.0216e-07,-81.0199454
7.0218e-07,-72.8566229
7.022e-07,-72.3083472
7.0222e-07,-71.3639138
7.0224e-07,-70.7234747
7.0226e-07,-70.4386803
7.0228e-07,-72.0177424
7.023e-07,-71.4590315
7.0232e-07,-73.3382921
7.0234e-07,-70.3013283
7.0236e-07,-73.3811551
7.0238e-07,-70.0676085
7.024e-07,-70.7452304
7.0242e-07,-72.2415312
7.0244e-07,-72.6738155
7.0246e-07,-68.9266588
7.0248e-07,-69.8714414
7.025e-07,-71.5988431
7.0252e-07,-72.3027094
7.0254e-07,-70.5146638
7.0256e-07,-71.7446622
7.0258e-07,-71.7316449
7.026e-07,-72.5488715
7.0262e-07,-72.169024
7.0264e-07,-71.6374324
7.0266e-07,-71.3366558
7.0268e-07,-70.2273561
7.027e-07,-70.6579798
7.0272e-07,-71.0113401
7.0274e-07,-69.4974845
7.0276e-07,-70.9506422
7.0278e-07,-70.1356433
7.028e-07,-70.5624544
7.0282e-07,-71.6630587
7.0284e-07,-71.2415224
7.0286e-07,-74.0910421
7.0288e-07,-70.9122256
7.029e-07,-70.8504006
7.0292e-07,-71.0664847
7.0294e-07,-70.4327541
7.0296e-07,-70.2176127
7.0298e-07,-69.6582405
7.03e-07,-70.7873105
7.0302e-07,-72.0543003
7.0304e-07,-71.3895205
7.0306e-07,-70.8209027
7.0308e-07,-70.7392558
7.031e-07,-69.7585572
7.0312e-07,-71.8868098
7.0314e-07,-69.8535314
7.0316e-07,-71.5388071
7.0318e-07,-71.5948823
7.032e-07,-71.569368
7.0322e-07,-78.1719921
7.0324e-07,-71.4099665
7.0326e-07,-71.418395
7.0328e-07,-73.0347323
7.033e-07,-75.4218328
7.0332e-07,-71.6214917
7.0334e-07,-71.4655743
7.0336e-07,-69.7801543
7.0338e-07,-72.0558448
7.034e-07,-71.8572189
7.0342e-07,-72.2012311
7.0344e-07,-71.4715215
7.0346e-07,-71.1409214
7.0348e-07,-70.1383671
7.035e-07,-69.890206
7.0352e-07,-71.4262138
7.0354e-07,-70.5834973
7.0356e-07,-70.9708255
7.0358e-07,-70.6723182
7.036e-07,-71.8613207
7.0362e-07,-70.8776695
7.0364e-07,-69.6499562
7.0366e-07,-71.3715549
7.0368e-07,-76.260784
7.037e-07,-72.1578964
7.0372e-07,-71.247955
7.0374e-07,-70.2307035
7.0376e-07,-71.1906625
7.0378e-07,-70.9486271
7.038e-07,-72.880632
7.0382e-07,-70.7917317
7.0384e-07,-70.2135678
7.0386e-07,-71.0315358
7.0388e-07,-69.9029601
7.039e-07,-71.2416142
7.0392e-07,-72.2979445
7.0394e-07,-69.742627
7.0396e-07,-69.6333067
7.0398e-07,-70.0998336
7.04e-07,-71.5771463
7.0402e-07,-72.1412711
7.0404e-07,-72.3106203
7.0406e-07,-70.4840284
7.0408e-07,-70.7644395
7.041e-07,-71.0861808
7.0412e-07,-72.2312694
7.0414e-07,-70.9321902
7.0416e-07,-70.1695185
7.0418e-07,-71.7940664
7.042e-07,-70.4862916
7.0422e-07,-70.8182567
7.0424e-07,-70.9517806
7.0426e-07,-69.9841683
7.0428e-07,-72.8797801
7.043e-07,-72.5929253
7.0432e-07,-70.78777
7.0434e-07,-70.9796137
7.0436e-07,-72.3500346
7.0438e-07,-72.9309035
7.044e-07,-69.5837655
7.0442e-07,-71.3126459
7.0444e-07,-72.7134544
7.0446e-07,-72.7291677
7.0448e-07,-69.6166242
7.045e-07,-70.3101223
7.0452e-07,-71.0127555
7.0454e-07,-71.358691
7.0456e-07,-70.9850971
7.0458e-07,-70.6279284
7.046e-07,-73.6631569
7.0462e-07,-68.9594039
7.0464e-07,-70.8376942
7.0466e-07,-72.1976845
7.0468e-07,-70.0268574
7.047e-07,-70.3618259
7.0472e-07,-70.3978537
7.0474e-07,-70.5820281
7.0476e-07,-70.5935647
7.0478e-07,-72.9910951
7.048e-07,-72.8356837
7.0482e-07,-71.1747324
7.0484e-07,-72.6070743
7.0486e-07,-70.687616
7.0488e-07,-70.8100535
7.049e-07,-70.7407785
7.0492e-07,-72.0462528
7.0494e-07,-70.2510339
7.0496e-07,-70.6557393
7.0498e-07,-71.1261022
7.05e-07,-71.4685234
7.0502e-07,-70.0334013
7.0504e-07,-71.4723925
7.0506e-07,-71.9678175
7.0508e-07,-73.469615
7.051e-07,-73.4115357
7.0512e-07,-73.2894203
7.0514e-07,-75.2304348
7.0516e-07,-71.3847588
7.0518e-07,-71.0111608
7.052e-07,-70.5422476
7.0522e-07,-70.5694074
7.0524e-07,-71.8119788
7.0526e-07,-70.7912741
7.0528e-07,-70.8311726
7.053e-07,-73.6140583
7.0532e-07,-73.7963303
7.0534e-07,-71.9767958
7.0536e-07,-72.0720212
7.0538e-07,-72.7859382
7.054e-07,-74.7088922
7.0542e-07,-71.4034435
7.0544e-07,-70.2452122
7.0546e-07,-71.5693195
7.0548e-07,-68.8570245
7.055e-07,-69.2329694
7.0552e-07,-70.7775965
7.0554e-07,-70.4781059
7.0556e-07,-75.4084751
7.0558e-07,-76.5727053
7.056e-07,-72.2192549
7.0562e-07,-68.2464889
7.0564e-07,-73.3357727
7.0566e-07,-70.9786952
7.0568e-07,-73.7725887
7.057e-07,-71.8472174
7.0572e-07,-70.9583777
7.0574e-07,-72.1162939
7.0576e-07,-71.7020573
7.0578e-07,-72.3434546
7.058e-07,-69.8040993
7.0582e-07,-71.9307314
7.0584e-07,-69.4450166
7.0586e-07,-70.5288584
7.0588e-07,-72.3542423
7.059e-07,-77.3075545
7.0592e-07,-71.2658595
7.0594e-07,-71.3198122
