lbd,S
7e-07,-72.0155222
7.0002e-07,-71.7664141
7.0004e-07,-69.303191
7.0006e-07,-70.2767021
7.0008e-07,-70.4649757
7.001e-07,-70.1768282
7.0012e-07,-69.5155756
7.0014e-07,-70.9341579
7.0016e-07,-74.4698626
7.0018e-07,-71.3316657
7.002e-07,-71.65682
7.0022e-07,-71.773959
7.0024e-07,-71.898463
7.0026e-07,-70.1965646
7.0028e-07,-69.8631132
7.003e-07,-69.7676191
7.0032e-07,-70.7486226
7.0034e-07,-70.5057157
7.0036e-07,-72.4503879
7.0038e-07,-71.5188032
7.004e-07,-71.70632
7.0042e-07,-70.5971368
7.0044e-07,-70.2902216
7.0046e-07,-72.5661777
7.0048e-07,-70.4934309
7.005e-07,-69.7106867
7.0052e-07,-70.9744441
7.0054e-07,-69.2228224
7.0056e-07,-70.0681988
7.0058e-07,-72.4238641
7.006e-07,-72.7329913
7.0062e-07,-70.9776592
7.0064e-07,-70.4956276
7.0066e-07,-71.2566537
7.0068e-07,-70.0220372
7.007e-07,-69.6799206
7.0072e-07,-69.3334698
7.0074e-07,-71.9753386
7.0076e-07,-70.1237999
7.0078e-07,-72.7009478
7.008e-07,-72.2464267
7.0082e-07,-73.9285065
7.0084e-07,-70.7899544
7.0086e-07,-70.6372805
7.0088e-07,-72.3367702
7.009e-07,-72.1680864
7.0092e-07,-76.9432672
7.0094e-07,-70.416884
7.0096e-07,-69.2573968
7.0098e-07,-70.8036586
7.01e-07,-71.8799515
7.0102e-07,-72.3211025
7.0104e-07,-72.1677292
7.0106e-07,-70.1698125
7.0108e-07,-70.7347906
7.011e-07,-69.1555985
7.0112e-07,-72.4786758
7.0114e-07,-71.1088687
7.0116e-07,-71.2868378
7.0118e-07,-71.0810594
7.012e-07,-69.9935571
7.0122e-07,-70.281436
7.0124e-07,-72.7302595
7.0126e-07,-69.2431682
7.0128e-07,-69.1549917
7.013e-07,-70.0343116
7.0132e-07,-71.6263324
7.0134e-07,-69.9280504
7.0136e-07,-71.7684888
7.0138e-07,-71.7008006
7.014e-07,-71.3424073
7.0142e-07,-71.2786307
7.0144e-07,-70.8019791
7.0146e-07,-70.6755796
7.0148e-07,-70.9231314
7.015e-07,-72.4597852
7.0152e-07,-71.5034014
7.0154e-07,-71.1228271
7.0156e-07,-71.8633243
7.0158e-07,-72.3598814
7.016e-07,-71.6463746
7.0162e-07,-70.5835378
7.0164e-07,-70.7569488
7.0166e-07,-69.8957356
7.0168e-07,-71.8401004
7.017e-07,-70.2319291
7.0172e-07,-70.6896413
7.0174e-07,-69.8201124
7.0176e-07,-71.2220319
7.0178e-07,-70.472892
7.018e-07,-71.0580816
7.0182e-07,-71.6476518
7.0184e-07,-71.2652598
7.0186e-07,-71.4494341
7.0188e-07,-71.6627624
7.019e-07,-72.2464136
7.0192e-07,-71.4753656
7.0194e-07,-69.2562717
7.0196e-07,-71.3899836
7.0198e-07,-71.300328
7.02e-07,-71.2065523
7.0202e-07,-74.1437126
7.0204e-07,-70.4170791
7.0206e-07,-71.4366889
7.0208e-07,-70.3046771
7.021e-07,-71.1480866
7.0212e-07,-69.4822974
7.0214e-07,-71.1081827
7.0216e-07,-71.9648999
7.0218e-07,-71.2344509
7.022e-07,-70.8956599
7.0222e-07,-72.1169096
7.0224e-07,-68.8233837
7.0226e-07,-70.9650972
7.0228e-07,-71.1233903
7.023e-07,-71.7027257
7.0232e-07,-70.4365503
7.0234e-07,-69.7792725
7.0236e-07,-69.9763974
7.0238e-07,-69.8039375
7.024e-07,-70.597237
7.0242e-07,-70.4715242
7.0244e-07,-69.4489368
7.0246e-07,-74.544343
7.0248e-07,-73.5460993
7.025e-07,-70.9955645
7.0252e-07,-72.8848935
7.0254e-07,-73.4148966
7.0256e-07,-74.5581572
7.0258e-07,-70.9807468
7.026e-07,-72.192567
7.0262e-07,-72.5333036
7.0264e-07,-71.6137675
7.0266e-07,-74.1574846
7.0268e-07,-70.7523616
7.027e-07,-70.784295
7.0272e-07,-71.7072946
7.0274e-07,-71.5229508
7.0276e-07,-70.4084631
7.0278e-07,-71.0294418
7.028e-07,-70.5569643
7.0282e-07,-70.7384167
7.0284e-07,-71.1778597
7.0286e-07,-73.4916991
7.0288e-07,-73.2797605
7.029e-07,-69.5723382
7.0292e-07,-71.0260013
7.0294e-07,-71.3073039
7.0296e-07,-73.1212715
7.0298e-07,-69.2541144
7.03e-07,-77.5929491
7.0302e-07,-71.1884826
7.0304e-07,-70.3272222
7.0306e-07,-72.0712146
7.0308e-07,-73.6656398
7.031e-07,-71.6169171
7.0312e-07,-71.2210202
7.0314e-07,-72.2054621
7.0316e-07,-71.6680996
7.0318e-07,-72.7777166
7.032e-07,-70.1570515
7.0322e-07,-72.2026364
7.0324e-07,-72.9321138
7.0326e-07,-69.9789486
7.0328e-07,-74.2189188
7.033e-07,-71.5498481
7.0332e-07,-70.3327948
7.0334e-07,-70.798872
7.0336e-07,-70.1435396
7.0338e-07,-71.6035698
7.034e-07,-70.7979923
7.0342e-07,-72.217253
7.0344e-07,-71.3292525
7.0346e-07,-70.387725
7.0348e-07,-72.5337768
7.035e-07,-71.0415657
7.0352e-07,-72.94566
7.0354e-07,-70.7463076
7.0356e-07,-69.769231
7.0358e-07,-70.1759415
7.036e-07,-72.5711493
7.0362e-07,-72.7091383
7.0364e-07,-70.8654539
7.0366e-07,-71.5084611
7.0368e-07,-70.2173457
7.037e-07,-71.7764711
7.0372e-07,-72.908381
7.0374e-07,-71.8544476
7.0376e-07,-71.4186139
7.0378e-07,-70.2886209
7.038e-07,-71.1223363
7.0382e-07,-72.583969
7.0384e-07,-71.8057931
7.0386e-07,-71.6548241
7.0388e-07,-72.2808277
7.039e-07,-72.9095018
7.0392e-07,-70.8873363
7.0394e-07,-71.4902759
7.0396e-07,-72.5183413
7.0398e-07,-70.4368932
7.04e-07,-71.1429599
7.0402e-07,-72.5262994
7.0404e-07,-70.4502404
7.0406e-07,-71.8007761
7.0408e-07,-69.9166029
7.041e-07,-69.5362546
7.0412e-07,-72.5900581
7.0414e-07,-71.3835653
7.0416e-07,-72.1114214
7.0418e-07,-71.8284118
7.042e-07,-70.2565226
7.0422e-07,-70.1661759
7.0424e-07,-70.958047
7.0426e-07,-70.7116182
7.0428e-07,-70.4993636
7.043e-07,-70.7905598
7.0432e-07,-70.3119102
7.0434e-07,-70.6702934
7.0436e-07,-71.9945165
7.0438e-07,-69.8391137
7.044e-07,-69.6246208
7.0442e-07,-70.5472795
7.0444e-07,-72.8607897
7.0446e-07,-72.9419843
7.0448e-07,-70.6172016
7.045e-07,-70.7430438
7.0452e-07,-70.6058099
7.0454e-07,-71.4376334
7.0456e-07,-71.507871
7.0458e-07,-72.6895864
7.046e-07,-70.7574987
7.0462e-07,-70.8833019
7.0464e-07,-71.8161918
7.0466e-07,-73.7031917
7.0468e-07,-71.4727251
7.047e-07,-70.7487045
7.0472e-07,-72.6814776
7.0474e-07,-72.0659308
7.0476e-07,-72.8167853
7.0478e-07,-69.7567056
7.048e-07,-70.9734341
7.0482e-07,-72.8892381
7.0484e-07,-70.3784424
7.0486e-07,-69.7368762
7.0488e-07,-69.7692145
7.049e-07,-71.9098222
7.0492e-07,-69.8827844
7.0494e-07,-71.7665208
7.0496e-07,-70.2135097
7.0498e-07,-71.0115929
7.05e-07,-68.9154325
7.0502e-07,-70.6966779
7.0504e-07,-71.5020866
7.0506e-07,-72.1483648
7.0508e-07,-69.994909
7.051e-07,-72.8490651
7.0512e-07,-73.356575
7.0514e-07,-71.7553845
7.0516e-07,-72.0742852
7.0518e-07,-70.0804162
7.052e-07,-68.6384935
7.0522e-07,-71.6573618
7.0524e-07,-69.4516322
7.0526e-07,-71.1199586
7.0528e-07,-70.9440245
7.053e-07,-72.1356611
7.0532e-07,-70.9132401
7.0534e-07,-69.562256
7.0536e-07,-70.7801734
7.0538e-07,-69.8552583
7.054e-07,-71.5697645
7.0542e-07,-68.916039
7.0544e-07,-70.8306854
7.0546e-07,-71.0303533
7.0548e-07,-76.61468
7.055e-07,-72.1879381
7.0552e-07,-71.5902807
7.0554e-07,-71.1463579
7.0556e-07,-70.9736248
7.0558e-07,-71.4739056
